id,nom,pays,naissance,sexe,id,titre,annee,nbSpectateurs,idRealisateur,idGenre
5602,David Lynch,USA,1946-01-20,M,404,Une Histoire vraie,1999,775380,5602,18
2406,Mathieu Kassovitz,France,1967-08-03,M,406,La Haine,1995,1912500,2406,18
3556,Roman Polanski,France,1933-08-18,M,423,Le Pianiste,2002,15009072,3556,18
488,Steven Spielberg,USA,1946-12-18,M,424,La Liste de Schindler,1993,40170695,488,18
6011,Michael Haneke,Germany,1942-03-23,M,445,Caché,2005,4500000,6011,9648
6201,Baz Luhrmann,Australia,1962-09-17,M,454,Roméo + Juliette,1996,18412345,6201,18
6295,Catherine Breillat,France,1948-07-13,F,465,36 Fillette,1988,,6295,18
5602,David Lynch,USA,1946-01-20,M,483,Sailor et Lula,1990,1820030,5602,35
5216,Gus Van Sant,USA,1952-07-24,M,489,Will Hunting,1997,28241679,5216,18
6767,Larry Charles,USA,1956-02-20,M,496,Borat : Leçons culturelles sur l'Amérique au profit de la glorieuse nation Kazakhstan,2006,32696593,6767,35
4027,Frank Darabont,France,1959-01-28,M,497,La Ligne Verte,1999,35850171,4027,14
138,Quentin Tarantino,USA,1963-03-27,M,500,Reservoir Dogs,1992,357468,138,80
2636,Alfred Hitchcock,UK,1899-08-13,M,506,Pas de printemps pour Marnie,1964,875000,2636,9648
7017,Roger Michell,South Africa,1956-06-05,M,509,Coup de foudre à Notting Hill,1999,45486209,7017,10749
3974,Miloš Forman,Československo,1932-02-18,M,510,Vol au dessus d'un nid de coucou,1975,13622659,3974,18
7187,Richard Donner,USA,1930-04-24,M,526,"Ladyhawke, la femme de la nuit",1985,2304000,7187,12
7467,David Fincher,USA,1962-08-28,M,550,Fight Club,1999,12606719,7467,18
6159,Ron Howard,USA,1954-03-01,M,568,Apollo 13,1995,44404741,6159,18
6295,Catherine Breillat,France,1948-07-13,F,570,À ma sœur !,2001,,6295,18
488,Steven Spielberg,USA,1946-12-18,M,578,Les Dents de la mer,1975,58831625,488,27
6159,Ron Howard,USA,1954-03-01,M,591,Da Vinci Code,2006,95977557,6159,53
2710,James Cameron,Canada,1954-08-16,M,597,Titanic,1997,230629273,2710,18
240,Stanley Kubrick,USA,1928-07-26,M,600,Full Metal Jacket,1987,5794709,240,18
6046,Roland Emmerich,West Germany,1955-11-10,M,602,Independence Day,1996,102175111,6046,28
5174,Barry Sonnenfeld,USA,1953-04-01,M,607,Men in Black,1997,73673817,5174,28
5174,Barry Sonnenfeld,USA,1953-04-01,M,608,Men in Black II,2002,55227350,5174,28
488,Steven Spielberg,USA,1946-12-18,M,612,Munich,2005,16294863,488,18
9032,Bryan Singer,USA,1965-09-17,M,629,Usual Suspects,1995,2917696,9032,18
5602,David Lynch,USA,1946-01-20,M,638,Lost Highway,1997,459400,5602,18
488,Steven Spielberg,USA,1946-12-18,M,640,Arrête-moi si tu peux,2002,44014289,488,18
9855,Terence Young,China,1915-06-20,M,646,James Bond 007 contre Dr. No,1962,7450000,9855,12
9855,Terence Young,China,1915-06-20,M,657,Bons baisers de Russie,1963,9862345,9855,28
9915,Guy Hamilton,France,1922-09-16,M,658,Goldfinger,1964,15610132,9915,12
9855,Terence Young,China,1915-06-20,M,660,Opération Tonnerre,1965,17649457,9855,12
10076,Lewis Gilbert,UK,1920-03-06,M,667,On ne vit que deux fois,1967,13948098,10076,28
10965,Chris Columbus,USA,1958-09-10,M,671,Harry Potter à l'école des sorciers,2001,122059443,10965,12
10965,Chris Columbus,USA,1958-09-10,M,672,Harry Potter et la Chambre des secrets,2002,109586060,10965,12
11218,Alfonso Cuarón,Mexico,1961-11-28,M,673,Harry Potter et le Prisonnier d'Azkaban,2004,98725569,11218,12
10723,Mike Newell,UK,1942-03-28,M,674,Harry Potter et la Coupe de feu,2005,111990129,10723,12
11343,David Yates,UK,1963-11-30,M,675,Harry Potter et l'Ordre du Phénix,2007,117276592,11343,12
865,Michael Bay,USA,1965-02-17,M,676,Pearl Harbor,2001,56152618,865,36
9915,Guy Hamilton,France,1922-09-16,M,681,Les Diamants sont éternels,1971,14502443,9915,12
9915,Guy Hamilton,France,1922-09-16,M,682,L'homme au pistolet d'or,1974,12196500,9915,12
190,Clint Eastwood,USA,1930-05-31,M,688,Sur la route de Madison,1995,22752077,190,18
10076,Lewis Gilbert,UK,1920-03-06,M,691,L'espion qui m'aimait,1977,23179834,10076,12
240,Stanley Kubrick,USA,1928-07-26,M,694,Shining,1980,5597711,240,27
10076,Lewis Gilbert,UK,1920-03-06,M,698,Moonraker,1979,26288512,10076,28
10179,John Glen,UK,1932-05-15,M,699,Rien que pour vos yeux,1981,24414100,10179,12
10179,John Glen,UK,1932-05-15,M,700,Octopussy,1983,23437500,10179,12
10179,John Glen,UK,1932-05-15,M,707,Dangereusement vôtre,1985,19053495,10179,12
10702,Martin Campbell,USA,1943-10-24,M,710,GoldenEye,1995,44024254,10702,12
1724,Roger Spottiswoode,Canada,1945-01-05,M,714,Demain ne meurt jamais,1997,41626383,1724,12
11195,Gérard Oury,France,1919-04-29,M,760,Les Aventures de Rabbi Jacob,1973,,11195,35
11201,Claude Zidi,France,,M,761,L'Aile ou la Cuisse,1976,,11201,35
280,Terry Gilliam,USA,1940-11-22,M,762,Monty Python - Sacré Graal !,1975,628618,280,12
108,Peter Jackson,New Zealand,1961-10-31,M,763,Braindead,1992,30327,108,27
11343,David Yates,UK,1963-11-30,M,767,Harry Potter et le Prince de sang-mêlé,2009,116744899,11343,12
1032,Martin Scorsese,USA,1942-11-17,M,769,Les Affranchis,1990,5854549,1032,18
10965,Chris Columbus,USA,1958-09-10,M,771,"Maman, j'ai raté l'avion !",1990,59585584,10965,35
11528,Jean Renoir,France,1894-09-15,M,777,La Grande Illusion,1937,,11528,18
10965,Chris Columbus,USA,1958-09-10,M,788,Madame Doubtfire,1993,55160774,10965,35
5602,David Lynch,USA,1946-01-20,M,793,Blue Velvet,1986,1068903,5602,80
240,Stanley Kubrick,USA,1928-07-26,M,802,Lolita,1962,1156250,240,18
7467,David Fincher,USA,1962-08-28,M,807,Seven,1995,40913982,7467,80
5524,Andrew Adamson,New Zealand,1966-12-01,M,808,Shrek,2001,60551152,5524,12
6737,Jay Roach,USA,1957-06-14,M,818,Austin Powers dans Goldmember,2002,37081928,6737,35
5602,David Lynch,USA,1946-01-20,M,841,Dune,1984,3865711,5602,28
488,Steven Spielberg,USA,1946-12-18,M,857,Il faut sauver le soldat Ryan,1998,60230113,488,18
7879,John Lasseter,USA,1957-01-12,M,862,Toy Story,1995,46694254,7879,16
7879,John Lasseter,USA,1957-01-12,M,863,Toy Story 2,1999,62170858,7879,16
488,Steven Spielberg,USA,1946-12-18,M,879,Hook ou la Revanche du capitaine Crochet,1991,37606852,488,12
13848,Charlie Chaplin,UK,1889-04-16,M,901,Les Lumières de la ville,1931,2397,13848,35
13848,Charlie Chaplin,UK,1889-04-16,M,914,Le dictateur,1940,1375000,13848,35
7879,John Lasseter,USA,1957-01-12,M,920,Cars : Quatre roues,2006,57747893,7879,16
5281,Spike Lee,USA,1957-03-20,M,925,Do the Right Thing,1989,4661930,5281,18
6046,Roland Emmerich,West Germany,1955-11-10,M,929,Godzilla,1998,47376786,6046,878
240,Stanley Kubrick,USA,1928-07-26,M,935,Dr Folamour,1964,1180034,240,18
7187,Richard Donner,USA,1930-04-24,M,944,L'Arme fatale 4,1998,35680575,7187,28
18863,Eric Darnell,,,M,953,Madagascar,2005,66585083,18863,10751
1150,Brian De Palma,USA,1940-09-11,M,954,Mission : Impossible,1996,57212044,1150,12
11401,John Woo,China,1946-09-22,M,955,Mission : Impossible 2,2000,68298513,11401,12
13848,Charlie Chaplin,UK,1889-04-16,M,962,La ruée vers l'or,1925,312500,13848,12
240,Stanley Kubrick,USA,1928-07-26,M,967,Spartacus,1960,7500000,240,28
240,Stanley Kubrick,USA,1928-07-26,M,975,Les Sentiers de la gloire,1957,,240,18
14597,Gaspar Noé,Argentina,1963-12-27,M,979,Irréversible,2002,99025,14597,18
5602,David Lynch,USA,1946-01-20,M,985,Eraserhead,1977,875000,5602,14
5602,David Lynch,USA,1946-01-20,M,1018,Mulholland Drive,2001,2514667,5602,53
108,Peter Jackson,New Zealand,1961-10-31,M,1024,Créatures célestes,1994,381141,108,18
15488,Ken Loach,UK,1936-06-17,M,1116,Le vent se lève,2006,2861127,15488,18
54441,James Ivory,USA,1928-06-07,M,1245,Les Vestiges du jour,1993,2904738,54441,18
16785,Peter Webber,United Kingdom,,M,1248,Hannibal Lecter : Les origines du mal,2007,10271235,16785,80
190,Clint Eastwood,USA,1930-05-31,M,1251,Lettres d'Iwo Jima,2006,8584153,190,28
16356,Steve Bendelack,,,M,1268,Les Vacances de Mr. Bean,2007,28717043,16356,10751
16513,John G. Avildsen,USA,1935-12-21,M,1366,Rocky,1976,14654393,16513,18
9181,Edward Zwick,USA,1952-10-08,M,1372,Blood Diamond,2006,21359739,9181,18
15488,Ken Loach,UK,1936-06-17,M,1376,Sweet Sixteen,2002,,15488,80
16862,Claude Lelouch,France,1937-10-30,M,1386,C'était un rendez-vous,1976,,16862,28
20646,Gabriele Muccino,Italy,1967-05-20,M,1402,À la recherche du bonheur,2006,38384661,20646,18
15488,Ken Loach,UK,1936-06-17,M,1404,Just a kiss,2004,,15488,18
16919,Olivier Dahan,France,1967-06-26,M,1407,La Môme,2007,,16919,10402
1032,Martin Scorsese,USA,1942-11-17,M,1422,Les Infiltrés,2006,36230919,1032,18
5281,Spike Lee,USA,1957-03-20,M,1429,La 25ème heure,2002,3000000,5281,80
1769,Sofia Coppola,USA,1971-05-14,F,1443,Virgin suicides,1999,1301172,1769,18
9032,Bryan Singer,USA,1965-09-17,M,1452,Superman Returns,2006,48885149,9032,878
5572,Joel Schumacher,USA,1939-08-28,M,1551,L'Expérience interdite,1990,7686158,5572,18
17520,Cédric Klapisch,France,1961-09-04,M,1555,L'Auberge espagnole,2002,487224,17520,18
5306,Lasse Hallström,Sweden,1946-06-02,M,1587,Gilbert Grape,1993,1254095,5306,10749
17883,David O. Russell,USA,1958-08-20,M,1599,J'adore Huckabees,2004,,17883,35
3776,Jean-Luc Godard,France,1930-12-03,M,1626,Vivre sa vie : film en douze tableaux,1962,3064,3776,18
3776,Jean-Luc Godard,France,1930-12-03,M,1629,La Chinoise,1967,3857,3776,35
6295,Catherine Breillat,France,1948-07-13,F,1631,Une vraie jeune fille,1976,,6295,18
1090,John McTiernan,USA,1951-01-08,M,1669,À la poursuite d'Octobre rouge,1990,24900000,1090,28
5281,Spike Lee,USA,1957-03-20,M,1713,Jungle Fever,1991,4060335,5281,18
18898,Rob Minkoff,U.S.,1962-08-11,M,1729,Le Royaume interdit,2008,15988328,18898,28
5602,David Lynch,USA,1946-01-20,M,1730,Inland Empire,2006,106131,5602,18
18878,Rob Cohen,USA,1949-03-12,M,1735,La Momie : La Tombe de l'empereur Dragon,2008,50141079,18878,12
8685,Andrew Niccol,New Zealand,1964-06-01,M,1830,Lord of War,2005,9077133,8685,80
19303,Kevin Smith,USA,1970-08-02,M,1832,Dogma,1999,3831611,19303,14
15148,Jon Amiel,UK,1948-05-20,M,1844,Haute voltige,1999,26550549,15148,10749
19639,André Hunebelle,France,1896-09-01,M,1870,Fantômas se déchaîne,1965,,19639,35
19639,André Hunebelle,France,1896-09-01,M,1871,Fantômas,1964,,19639,35
19639,André Hunebelle,France,1896-09-01,M,1875,Fantômas contre Scotland Yard,1967,,19639,35
280,Terry Gilliam,USA,1940-11-22,M,1878,Las Vegas Parano,1998,1335034,280,12
5281,Spike Lee,USA,1957-03-20,M,1883,Malcolm X,1992,6021238,5281,18
1769,Sofia Coppola,USA,1971-05-14,F,1887,Marie-Antoinette,2006,7559292,1769,18
2034,Danny Boyle,UK,1956-10-20,M,1907,La Plage,2000,18007109,2034,18
5602,David Lynch,USA,1946-01-20,M,1923,"Twin Peaks, le feu marche avec moi",1992,520106,5602,18
223,Alejandro González Iñárritu,Mexico,1963-08-15,M,1926,11 Septembre 2001,2002,,223,18
20218,Eric Bress,,,M,1954,L'Effet papillon,2004,12007607,20218,878
5602,David Lynch,USA,1946-01-20,M,1955,Elephant Man,1980,3251358,5602,18
1152,Oliver Stone,USA,1946-09-15,M,1966,Alexandre,2004,20912274,1152,10752
20430,Radu Mihăileanu,Romania,1958-04-23,M,1986,"Va, vis et deviens",2005,,20430,18
138,Quentin Tarantino,USA,1963-03-27,M,1991,Boulevard de la mort,2007,3129737,138,28
12786,Simon West,UK,,M,1995,"Lara Croft, Tomb Raider",2001,34337917,12786,12
6295,Catherine Breillat,France,1948-07-13,F,2002,Une Vieille maîtresse,2007,,6295,18
6295,Catherine Breillat,France,1948-07-13,F,2003,Anatomie de l'enfer,2004,,6295,18
20709,Vincent Paronnaud,Francia,1970-01-01,M,2011,Persepolis,2007,,20709,16
7482,Julian Schnabel,USA,1951-10-26,M,2013,Le scaphandre et le papillon,2007,2472205,7482,18
4945,Joe Johnston,USA,1950-05-13,M,2023,Hidalgo,2004,13512931,4945,37
20849,Étienne Chatiliez,France,1952-06-17,M,2029,Tanguy,2001,,20849,35
20907,Antoine Fuqua,USA,1966-01-19,M,2034,Training Day,2001,13109529,20907,28
21085,Alex Proyas,Egypt,1963-09-23,M,2048,"I, Robot",2004,43404364,21085,28
21339,Jez Butterworth,UK,1969-01-01,M,2084,Nadia,2001,,21339,35
10765,Andrzej Bartkowiak,Poland,1950-03-06,M,2085,Roméo doit mourir,2000,11379595,10765,28
21647,Gérard Krawczyk,France,1953-05-17,M,2110,Wasabi,2001,,21647,18
323,Curtis Hanson,USA,1945-03-24,M,2118,L.A. Confidential,1997,15777117,323,80
21931,Chris Nahon,France,1968-12-05,M,2140,Le Baiser mortel du dragon,2001,8054730,21931,28
15488,Ken Loach,UK,1936-06-17,M,2143,Carla's Song,1996,,15488,10752
15488,Ken Loach,UK,1936-06-17,M,2147,Les Dockers de Liverpool,1996,,15488,99
224,David Cronenberg,Canada,1943-03-15,M,2252,Les Promesses de l'ombre,2007,7013325,224,53
19303,Kevin Smith,USA,1970-08-02,M,2255,Méprise multiple,1997,1502659,19303,35
27436,Costa-Gavras,Greece,1933-02-12,M,2263,Music Box,1989,782985,27436,53
90,Isabel Coixet,Spain,1960-04-09,F,2266,"Paris, je t'aime",2006,607170,90,18
3288,Chris Weitz,New York,1969-11-30,M,2268,À la croisée des mondes : La Boussole d'or,2007,46529358,3288,12
5342,Mike Nichols,Germany,1931-11-06,M,2288,Closer : Entre adultes consentants,2004,14438128,5342,18
19303,Kevin Smith,USA,1970-08-02,M,2293,Les Glandeurs,1995,265320,19303,10749
19303,Kevin Smith,USA,1970-08-02,M,2294,Jay & Bob contre-attaquent,2001,4223520,19303,35
24,Robert Zemeckis,USA,1951-05-14,M,2310,La Légende de Beowulf,2007,24466984,24,12
24397,Jean-Pierre Mocky,France,1933-07-06,M,2377,Bonsoir,1994,,24397,35
24397,Jean-Pierre Mocky,France,1933-07-06,M,2385,Agent Trouble,1987,,24397,53
24886,Frédéric Forestier,France,1969-01-01,M,2395,Astérix aux Jeux Olympiques,2008,16612500,24886,14
25182,Yves Robert,France,1920-06-21,M,2459,Un éléphant ça trompe énormément,1976,,25182,35
24380,Édouard Molinaro,France,1928-05-13,M,2462,Hibernatus,1969,,24380,35
11694,Doug Liman,USA,1965-07-24,M,2501,La Mémoire dans la peau,2002,26754278,11694,28
25598,Paul Greengrass,UK,1955-08-13,M,2502,La Mort dans la peau,2004,36062527,25598,28
25598,Paul Greengrass,UK,1955-08-13,M,2503,La Vengeance dans la peau,2007,55353017,25598,28
1032,Martin Scorsese,USA,1942-11-17,M,2567,Aviator,2004,12750000,1032,18
21171,Gérard Jugnot,France,1951-05-04,M,2594,Monsieur Batignole,2002,,21171,35
24,Robert Zemeckis,USA,1951-05-14,M,2655,Apparences,2000,36427543,24,18
27436,Costa-Gavras,Greece,1933-02-12,M,2721,Z,1969,10413,27436,18
3776,Jean-Luc Godard,France,1930-12-03,M,2786,Pierrot le fou,1965,,3776,18
24380,Édouard Molinaro,France,1928-05-13,M,2798,Oscar,1967,,24380,35
2419,Jean-Pierre Jeunet,France,1953-09-03,M,2841,Un long dimanche de fiançailles,2004,,2419,18
28615,Éric Rohmer,France,1920-03-20,M,2860,Le Genou de Claire,1970,,28615,18
20718,Claude Berri,France,1934-07-01,M,2882,"Ensemble, c'est tout",2007,,20718,10749
4275,Alain Chabat,Algérie,1958-11-24,M,2899,Astérix et Obélix : Mission Cléopâtre,2002,13890944,4275,10751
20739,Adam Shankman,USA,1964-11-27,M,2976,Hairspray,2007,11306251,20739,35
13848,Charlie Chaplin,UK,1889-04-16,M,2984,La comtesse de Hong-Kong,1967,250000,13848,35
40,Orson Welles,USA,1915-05-06,M,3009,Le procès,1962,,40,80
13848,Charlie Chaplin,UK,1889-04-16,M,3082,Les temps modernes,1936,1062500,13848,18
1032,Martin Scorsese,USA,1942-11-17,M,3131,Gangs of New York,2002,24221563,1032,18
5342,Mike Nichols,Germany,1931-11-06,M,3525,Working girl,1988,12896704,5342,35
190,Clint Eastwood,USA,1930-05-31,M,3580,L'échange,2008,14127531,190,80
9789,Robert Altman,USA,1925-02-20,M,3586,Prêt à porter,1994,1412581,9789,18
34262,Bertrand Blier,France,1939-03-14,M,3934,Tenue de soirée,1986,,34262,80
34262,Bertrand Blier,France,1939-03-14,M,4031,Les Valseuses,1974,,34262,35
39,Sam Mendes,UK,1965-08-01,M,4147,Les Sentiers de la perdition,2002,22625184,39,80
35208,Coline Serreau,France,1947-10-29,F,4180,3 Hommes et un couffin,1985,256558,35208,35
1650,François Truffaut,France,1932-02-06,M,4191,La mariée était en noir,1968,5570,1650,9648
34580,Henri Verneuil,Ottoman Empire [now Turkey],1920-10-15,M,4235,Le clan des Siciliens,1969,,34580,80
27436,Costa-Gavras,Greece,1933-02-12,M,4311,Compartiment tueurs,1965,,27436,80
280,Terry Gilliam,USA,1940-11-22,M,4442,Les Frères Grimm,2005,13164533,280,12
9181,Edward Zwick,USA,1952-10-08,M,4476,Légendes d'automne,1994,20079860,9181,12
20718,Claude Berri,France,1934-07-01,M,4480,Jean de Florette,1986,,20718,18
20718,Claude Berri,France,1934-07-01,M,4481,Manon des sources,1986,,20718,18
37626,Patrice Leconte,France,1947-11-12,M,4516,Mon Meilleur Ami,2006,,37626,35
280,Terry Gilliam,USA,1940-11-22,M,4543,Monty Python - Le sens de la vie,1983,,280,35
38007,Just Jaeckin,France,1940-08-08,M,4561,Histoire d'O,1975,,38007,18
41671,Nimród Antal,USA,1973-11-30,M,4597,Blindés,2009,2867777,41671,28
