id,nom,pays,naissance,sexe
613,Sumi Shimamoto,Japan,1954-12-08,F
614,Mahito Tsujimura,,,
616,Gorō Naya,Japan,1929-11-17,M
617,Ichirō Nagai,Japan,1931-05-10,M
618,Kōhei Miyauchi,,,
620,Minoru Yada,Prefettura di Tōkyō,1931-04-27,M
622,Yōji Matsuda,,,
648,Philip Kaufman,USA,1936-10-23,M
649,Vernon Dobtcheff,France,1934-08-14,M
650,Karen Allen,USA,1951-10-05,F
653,Ronald Lacey,United Kingdom,1935-09-28,M
655,John Rhys-Davies,UK,1944-05-05,M
656,Denholm Elliott,UK,1922-05-31,M
658,Alfred Molina,UK,1953-05-24,M
659,Wolf Kahler,Germany,1940-04-03,M
663,William Hootkins,USA,1948-07-05,M
664,Frank Marshall,USA,1946-09-13,M
677,Moritz Bleibtreu,Germany,1971-08-13,M
679,Franka Potente,Germany,1974-07-22,F
694,Philip Stone,UK,1924-04-14,M
696,David Yip,UK,1951-06-04,M
707,Dan Aykroyd,Canada,1952-07-01,M
738,Sean Connery,UK,1930-08-25,M
739,Alison Doody,Ireland,1966-11-11,F
740,Julian Glover,England,1935-03-27,M
742,Michael Byrne,UK,1943-11-07,M
743,Kevork Malikyan,Turkey,1943-06-02,M
747,Alex Hyde-White,UK,1959-01-30,M
782,Steven Berkoff,,1937-08-03,M
793,Luis Buñuel,España,1900-02-22,M
814,Tony Kaye,United Kingdom,1946-01-11,M
819,Edward Norton,USA,1969-08-18,M
820,Edward Furlong,USA,1977-08-02,M
824,Ethan Suplee,USA,1976-05-25,M
827,Elliott Gould,USA,1938-08-29,M
828,Guy Torry,U.S.,1969-01-05,M
856,Ben Gazzara,USA,1930-08-28,M
865,Michael Bay,USA,1965-02-17,M
880,Ben Affleck,USA,1972-08-15,M
882,Liv Tyler,USA,1977-07-01,F
883,Will Patton,USA,1954-06-14,M
884,Steve Buscemi,USA,1957-12-13,M
886,William Fichtner,USA,1956-11-27,M
887,Owen Wilson,USA,1968-11-18,M
893,Tony Scott,UK,1944-06-21,M
902,Milton Welsh,Germany,1969-01-01,M
920,Jürgen Prochnow,Germany,1941-06-10,M
923,Dean Stockwell,USA,1936-03-05,M
925,Paul Guilfoyle,USA,1949-04-28,M
934,Russell Crowe,New Zealand,1964-04-07,M
935,Connie Nielsen,Denmark,1965-07-03,F
937,Derek Jacobi,England,1938-10-22,M
938,Djimon Hounsou,Benin,1964-04-24,M
939,David Schofield,UK,1951-01-01,M
940,John Shrapnel,UK,1942-04-27,M
941,Tomas Arana,USA,1955-04-03,M
955,Penélope Cruz,Spain,1974-04-28,F
956,Guy Ritchie,UK,1968-09-10,M
957,Matthew Vaughn,UK,1971-03-07,M
973,Jason Flemyng,England,1966-09-25,M
974,Dexter Fletcher,UK,1966-01-31,M
975,Nick Moran,UK,1969-12-23,M
976,Jason Statham,UK,1967-07-26,M
980,Vinnie Jones,UK,1965-01-05,M
982,Sting,UK,1951-10-02,M
1003,Jean Reno,Morocco,1948-07-30,M
1004,Danny Aiello,USA,1933-06-20,M
1005,Peter Appel,USA,1959-10-19,M
1010,Michael Badalucco,U.S.,1954-12-20,M
1018,Nikolaj Lie Kaas,Denmark,1973-05-22,M
1019,Mads Mikkelsen,Denmark,1965-11-22,M
1032,Martin Scorsese,USA,1942-11-17,M
1037,Harvey Keitel,USA,1939-05-13,M
1038,Jodie Foster,USA,1962-11-19,F
1039,Peter Boyle,USA,1935-10-18,M
1064,Crispin Glover,USA,1964-04-20,M
1067,Marc McClure,U.S.,1957-03-31,M
1071,Tom Tykwer,Germany,1965-05-23,M
1086,Heino Ferch,Germany,1963-08-18,M
1088,Ludger Pistor,Germany,1959-03-16,M
1090,John McTiernan,USA,1951-01-08,M
1100,Arnold Schwarzenegger,Austria,1947-07-30,M
1101,Carl Weathers,USA,1948-01-14,M
1118,Rade Šerbedžija,Croatia,1946-07-27,M
1121,Benicio del Toro,Puerto Rico,1967-02-19,M
1123,Andy Beckwith,,,
1125,Ewen Bremner,UK,1972-01-23,M
1137,Juliette Binoche,France,1964-03-09,F
1141,Hélène Vincent,France,1943-09-09,F
1146,Julie Delpy,France,1969-12-21,F
1150,Brian De Palma,USA,1940-09-11,M
1152,Oliver Stone,USA,1946-09-15,M
1158,Al Pacino,USA,1940-04-25,M
1160,Michelle Pfeiffer,USA,1958-04-29,F
1162,Robert Loggia,USA,1930-01-03,M
1163,Miriam Colón,Puerto Rico,1936-08-20,F
1164,F. Murray Abraham,USA,1939-10-24,M
1165,Paul Shenar,USA,1936-02-12,M
1166,Harris Yulin,USA,1937-11-05,M
1169,Pepe Serna,,1944-07-23,F
1173,Mark Margolis,USA,1939-11-26,M
1201,Garry Marshall,USA,1934-11-13,M
1204,Julia Roberts,USA,1967-10-28,F
1205,Richard Gere,USA,1949-08-31,M
1210,Héctor Elizondo,USA,1936-12-22,M
1211,Larry Miller,USA,1953-10-15,M
1223,Joel Coen,USA,1954-11-29,M
1229,Jeff Bridges,USA,1949-12-04,M
1230,John Goodman,USA,1952-06-20,M
