id,nom,id,titre,annee,nbSpectateurs,idRealisateur,idGenre
12,Aventure,673,Harry Potter et le Prisonnier d'Azkaban,2004,98725569,11218,12
12,Aventure,674,Harry Potter et la Coupe de feu,2005,111990129,10723,12
12,Aventure,675,Harry Potter et l'Ordre du Phénix,2007,117276592,11343,12
36,Histoire,676,Pearl Harbor,2001,56152618,865,36
12,Aventure,681,Les Diamants sont éternels,1971,14502443,9915,12
12,Aventure,682,L'homme au pistolet d'or,1974,12196500,9915,12
18,Drame,688,Sur la route de Madison,1995,22752077,190,18
12,Aventure,691,L'espion qui m'aimait,1977,23179834,10076,12
27,Horreur,694,Shining,1980,5597711,240,27
28,Action,698,Moonraker,1979,26288512,10076,28
12,Aventure,699,Rien que pour vos yeux,1981,24414100,10179,12
12,Aventure,700,Octopussy,1983,23437500,10179,12
12,Aventure,707,Dangereusement vôtre,1985,19053495,10179,12
12,Aventure,710,GoldenEye,1995,44024254,10702,12
12,Aventure,714,Demain ne meurt jamais,1997,41626383,1724,12
35,Comédie,760,Les Aventures de Rabbi Jacob,1973,,11195,35
35,Comédie,761,L'Aile ou la Cuisse,1976,,11201,35
12,Aventure,762,Monty Python - Sacré Graal !,1975,628618,280,12
27,Horreur,763,Braindead,1992,30327,108,27
12,Aventure,767,Harry Potter et le Prince de sang-mêlé,2009,116744899,11343,12
18,Drame,769,Les Affranchis,1990,5854549,1032,18
35,Comédie,771,"Maman, j'ai raté l'avion !",1990,59585584,10965,35
18,Drame,777,La Grande Illusion,1937,,11528,18
35,Comédie,788,Madame Doubtfire,1993,55160774,10965,35
80,Crime,793,Blue Velvet,1986,1068903,5602,80
18,Drame,802,Lolita,1962,1156250,240,18
80,Crime,807,Seven,1995,40913982,7467,80
12,Aventure,808,Shrek,2001,60551152,5524,12
35,Comédie,818,Austin Powers dans Goldmember,2002,37081928,6737,35
28,Action,841,Dune,1984,3865711,5602,28
18,Drame,857,Il faut sauver le soldat Ryan,1998,60230113,488,18
16,Animation,862,Toy Story,1995,46694254,7879,16
16,Animation,863,Toy Story 2,1999,62170858,7879,16
12,Aventure,879,Hook ou la Revanche du capitaine Crochet,1991,37606852,488,12
35,Comédie,901,Les Lumières de la ville,1931,2397,13848,35
35,Comédie,914,Le dictateur,1940,1375000,13848,35
16,Animation,920,Cars : Quatre roues,2006,57747893,7879,16
18,Drame,925,Do the Right Thing,1989,4661930,5281,18
878,Science-Fiction,929,Godzilla,1998,47376786,6046,878
18,Drame,935,Dr Folamour,1964,1180034,240,18
28,Action,944,L'Arme fatale 4,1998,35680575,7187,28
10751,Familial,953,Madagascar,2005,66585083,18863,10751
12,Aventure,954,Mission : Impossible,1996,57212044,1150,12
12,Aventure,955,Mission : Impossible 2,2000,68298513,11401,12
12,Aventure,962,La ruée vers l'or,1925,312500,13848,12
28,Action,967,Spartacus,1960,7500000,240,28
18,Drame,975,Les Sentiers de la gloire,1957,,240,18
18,Drame,979,Irréversible,2002,99025,14597,18
14,Fantastique,985,Eraserhead,1977,875000,5602,14
53,Thriller,1018,Mulholland Drive,2001,2514667,5602,53
