id,titre,annee,nbSpectateurs,idRealisateur,idGenre
1955,Elephant Man,1980,3251358,5602,18
1966,Alexandre,2004,20912274,1152,10752
1986,"Va, vis et deviens",2005,,20430,18
1991,Boulevard de la mort,2007,3129737,138,28
1995,"Lara Croft, Tomb Raider",2001,34337917,12786,12
2002,Une Vieille maîtresse,2007,,6295,18
2003,Anatomie de l'enfer,2004,,6295,18
2011,Persepolis,2007,,20709,16
2013,Le scaphandre et le papillon,2007,2472205,7482,18
2023,Hidalgo,2004,13512931,4945,37
2029,Tanguy,2001,,20849,35
2034,Training Day,2001,13109529,20907,28
2048,"I, Robot",2004,43404364,21085,28
2084,Nadia,2001,,21339,35
2085,Roméo doit mourir,2000,11379595,10765,28
2110,Wasabi,2001,,21647,18
2118,L.A. Confidential,1997,15777117,323,80
2140,Le Baiser mortel du dragon,2001,8054730,21931,28
2143,Carla's Song,1996,,15488,10752
2147,Les Dockers de Liverpool,1996,,15488,99
2252,Les Promesses de l'ombre,2007,7013325,224,53
2255,Méprise multiple,1997,1502659,19303,35
2263,Music Box,1989,782985,27436,53
2266,"Paris, je t'aime",2006,607170,90,18
2268,À la croisée des mondes : La Boussole d'or,2007,46529358,3288,12
2288,Closer : Entre adultes consentants,2004,14438128,5342,18
2293,Les Glandeurs,1995,265320,19303,10749
2294,Jay & Bob contre-attaquent,2001,4223520,19303,35
2310,La Légende de Beowulf,2007,24466984,24,12
2377,Bonsoir,1994,,24397,35
2385,Agent Trouble,1987,,24397,53
2395,Astérix aux Jeux Olympiques,2008,16612500,24886,14
2459,Un éléphant ça trompe énormément,1976,,25182,35
2462,Hibernatus,1969,,24380,35
2501,La Mémoire dans la peau,2002,26754278,11694,28
2502,La Mort dans la peau,2004,36062527,25598,28
2503,La Vengeance dans la peau,2007,55353017,25598,28
2567,Aviator,2004,12750000,1032,18
2594,Monsieur Batignole,2002,,21171,35
2655,Apparences,2000,36427543,24,18
2721,Z,1969,10413,27436,18
2786,Pierrot le fou,1965,,3776,18
2798,Oscar,1967,,24380,35
2841,Un long dimanche de fiançailles,2004,,2419,18
2860,Le Genou de Claire,1970,,28615,18
2882,"Ensemble, c'est tout",2007,,20718,10749
2899,Astérix et Obélix : Mission Cléopâtre,2002,13890944,4275,10751
2976,Hairspray,2007,11306251,20739,35
2984,La comtesse de Hong-Kong,1967,250000,13848,35
3009,Le procès,1962,,40,80
3082,Les temps modernes,1936,1062500,13848,18
3131,Gangs of New York,2002,24221563,1032,18
3525,Working girl,1988,12896704,5342,35
3580,L'échange,2008,14127531,190,80
3586,Prêt à porter,1994,1412581,9789,18
3934,Tenue de soirée,1986,,34262,80
4031,Les Valseuses,1974,,34262,35
4147,Les Sentiers de la perdition,2002,22625184,39,80
4180,3 Hommes et un couffin,1985,256558,35208,35
4191,La mariée était en noir,1968,5570,1650,9648
4235,Le clan des Siciliens,1969,,34580,80
4311,Compartiment tueurs,1965,,27436,80
4442,Les Frères Grimm,2005,13164533,280,12
4476,Légendes d'automne,1994,20079860,9181,12
4480,Jean de Florette,1986,,20718,18
4481,Manon des sources,1986,,20718,18
4516,Mon Meilleur Ami,2006,,37626,35
4543,Monty Python - Le sens de la vie,1983,,280,35
4561,Histoire d'O,1975,,38007,18
4597,Blindés,2009,2867777,41671,28
4614,La Somme de toutes les peurs,2002,24125000,23968,53
4680,Deux hommes dans la ville,1973,,35585,80
4708,Paris brûle-t-il?,1966,,9740,10752
4710,Masculin féminin,1966,,3776,18
4727,Le Gendarme de Saint-Tropez,1964,,39138,35
4728,Le Gendarme à New-York,1965,,39138,35
4729,Le Gendarme se marie,1968,,39138,35
4735,Le bon et les méchants,1976,,16862,18
4765,L'ibis rouge,1975,,24397,35
4836,Layer Cake,2004,1481276,957,18
4858,Invasion,2007,1883939,7832,878
4909,Chacal,1973,,4065,28
4910,La seconde mort d'Harold Pelham,1970,,29504,53
4935,Le Château ambulant,2004,29506219,608,14
4948,Clair de femme,1979,,27436,18
4982,American Gangster,2007,33308129,578,18
5070,Combien tu m'aimes ?,2005,,34262,35
5144,Marquise,1997,,41518,18
5255,Le Pôle Express,2004,38829256,24,12
5375,Frère Noël,2007,12229793,42994,28
5511,Le Samouraï,1967,4935,3831,80
5548,RoboCop,1987,6678085,10491,28
5558,Le fantôme de la liberté,1974,,793,35
5781,Cet obscur objet du désir,1977,,793,35
5915,Into the Wild,2007,7031892,2228,12
6016,L'Homme de la Riviera,2003,,17016,80
6114,Dracula,1992,26982836,1776,10749
6116,"Spice World, le film",1997,12500000,47974,12
6187,Nettoyage à sec,1997,,48583,18
6277,Wanted : Ils vont braquer l'Amérique,2003,,22007,35
6312,Le Pacte des loups,2001,8844113,8296,12
6415,Les Rois du désert,1999,13500000,17883,28
6444,Tatie Danielle,1990,,20849,35
6479,Je suis une légende,2007,73168626,10943,18
6950,Alerte !,1995,23732445,5231,28
6977,No Country For Old Men,2007,21453395,1223,80
7007,Soleil levant,1993,13399848,648,28
7010,Les Oies sauvages,1978,,51875,28
7291,36 quai des Orfèvres,2004,,52342,80
7300,Un beau jour,1996,12191193,52405,35
7451,xXx,2002,34681047,18878,28
7461,Angles d'attaque,2008,18895186,43141,18
7549,Le Maître d'armes,2006,871408,17268,18
7551,Déjà vu,2006,22569693,893,28
7978,Wolfman,2010,,4945,27
7979,Les Cerfs-Volants De Kaboul,2007,9159505,12995,18
7980,Lovely Bones,2009,11690698,108,14
7984,Au nom du père,1993,8224607,53334,18
7992,It's a Free World...,2007,,15488,18
8009,Highlander,1986,737500,52968,12
8010,"Highlander, Le Retour",1991,1944542,52968,14
8054,L'imaginarium du Docteur Parnassus,2009,8044075,280,12
8065,Las Vegas 21,2008,8727899,36797,18
8071,Tout va bien,1972,,3776,18
8072,Alphaville,1965,,3776,18
8129,My Name Is Joe,1998,,15488,18
8195,Ronin,1998,8836512,13776,28
8216,Les Feebles,1989,,108,35
8265,Bienvenue chez les Ch'tis,2008,6648985,37627,35
8266,Les femmes de l'ombre,2008,,48408,28
8279,Paris,2008,2943750,17520,18
8290,La Grande Vadrouille,1966,,11195,35
8358,Seul au monde,2000,53704017,24,12
8392,Mon voisin Totoro,1988,,608,14
8424,Jeux d'enfants,2003,,55379,18
8434,Embrassez qui vous voudrez,2002,,21175,35
8470,John Q.,2002,12780596,11151,18
